20080624 00:00,1.5517,1.56216,1.551145,1.55727
20080625 00:00,1.557255,1.568665,1.55367,1.567785
20080626 00:00,1.567795,1.57673,1.562895,1.57359
20080627 00:00,1.573485,1.57911,1.57194,1.579005
20080629 00:00,1.577845,1.57971,1.577315,1.57858
20080630 00:00,1.578615,1.583605,1.57278,1.575625
20080701 00:00,1.57563,1.58273,1.572315,1.580345
20080702 00:00,1.580385,1.58914,1.57773,1.587785
20080703 00:00,1.587785,1.59094,1.56742,1.57171
20080704 00:00,1.57167,1.57276,1.565505,1.569885
20080706 00:00,1.56982,1.570655,1.563085,1.56459
20080707 00:00,1.564625,1.575345,1.561135,1.570855
20080708 00:00,1.57078,1.57395,1.56354,1.566325
20080709 00:00,1.566315,1.574915,1.56606,1.57279
20080710 00:00,1.57272,1.58016,1.56912,1.57941
20080711 00:00,1.579455,1.59474,1.576535,1.592335
20080713 00:00,1.596785,1.59706,1.588305,1.59045
20080714 00:00,1.59051,1.59441,1.584155,1.59418
20080715 00:00,1.59414,1.60379,1.58658,1.59053
20080716 00:00,1.590495,1.594865,1.580075,1.585035
20080717 00:00,1.585005,1.58932,1.578295,1.58468
20080718 00:00,1.58474,1.58872,1.58076,1.58377
20080720 00:00,1.584445,1.58731,1.582845,1.58691
20080721 00:00,1.586945,1.59366,1.58322,1.59246
20080722 00:00,1.59245,1.59444,1.57576,1.579735
20080723 00:00,1.579675,1.579755,1.56706,1.56959
20080724 00:00,1.56959,1.571365,1.56286,1.56921
20080725 00:00,1.56926,1.57535,1.56667,1.56988
20080727 00:00,1.570895,1.572345,1.568445,1.572025
20080728 00:00,1.57203,1.576805,1.56878,1.57446
20080729 00:00,1.57446,1.57573,1.55536,1.55888
20080730 00:00,1.55885,1.56165,1.55225,1.55862
20080731 00:00,1.558675,1.57,1.555545,1.556965
20080801 00:00,1.556925,1.55894,1.55144,1.554035
20080803 00:00,1.55662,1.559465,1.55641,1.558955
20080804 00:00,1.55896,1.5631,1.55288,1.55349
20080805 00:00,1.55354,1.5547,1.544435,1.54934
20080806 00:00,1.5494,1.55164,1.539835,1.54328
20080807 00:00,1.543245,1.550295,1.519405,1.52147
20080808 00:00,1.521495,1.524725,1.49978,1.50176
20080810 00:00,1.493095,1.49921,1.490695,1.498645
20080811 00:00,1.498545,1.50834,1.48613,1.488375
20080812 00:00,1.488395,1.496435,1.48158,1.493195
20080813 00:00,1.493195,1.497995,1.48428,1.489785
20080814 00:00,1.48974,1.49506,1.475325,1.47755
20080815 00:00,1.47755,1.4786,1.465925,1.46727
20080817 00:00,1.467795,1.476595,1.467185,1.476335
20080818 00:00,1.47632,1.476795,1.466735,1.469075
